Boy_Name,Girl_Name,Boy_Age,Girl_Age,Boy_FavColor,Girl_FavColor,Boy_Hobby,Girl_Hobby,Boy_FavMovieGenre,Girl_FavMovieGenre,Boy_Zodiac,Girl_Zodiac,Compatibility_Score
Richard,Kimberly,37,23,Brown,Purple,Drawing,Gaming,Adventure,Romance,Taurus,Aries,82
Joseph,Kimberly,19,24,Yellow,Green,Gaming,Drawing,Fantasy,Comedy,Leo,Virgo,100
Richard,Linda,40,40,Black,Brown,Drawing,Hiking,Horror,Fantasy,Scorpio,Pisces,100
Richard,Laura,26,39,Black,Black,Gaming,Gaming,Adventure,Romance,Aries,Pisces,94
Richard,Nancy,37,34,Blue,Blue,Fishing,Drawing,Adventure,Thriller,Scorpio,Scorpio,104
Daniel,Mary,28,19,Orange,Blue,Reading,Fishing,Fantasy,Drama,Aries,Virgo,92
Daniel,Jennifer,23,28,Yellow,Blue,Singing,Sports,Fantasy,Documentary,Aquarius,Aries,90
Joseph,Nancy,29,18,Red,Blue,Hiking,Traveling,Romance,Fantasy,Cancer,Leo,78
Andrew,Lisa,32,24,Pink,Pink,Dancing,Singing,Documentary,Action,Cancer,Libra,104
Richard,Susan,37,22,Green,Blue,Reading,Dancing,Drama,Horror,Libra,Virgo,70
William,Elizabeth,30,36,Pink,Red,Hiking,Dancing,Action,Thriller,Leo,Capricorn,88
Paul,Elizabeth,37,24,Brown,Green,Singing,Traveling,Sci-Fi,Horror,Virgo,Sagittarius,84
Robert,Jessica,32,32,Orange,Red,Dancing,Reading,Horror,Horror,Leo,Virgo,110
John,Kimberly,30,23,White,Yellow,Sports,Dancing,Documentary,Drama,Pisces,Leo,96
Paul,Elizabeth,29,24,Green,White,Dancing,Gaming,Adventure,Horror,Scorpio,Capricorn,100
Robert,Linda,29,31,Yellow,Pink,Drawing,Sports,Sci-Fi,Fantasy,Capricorn,Aquarius,106
Joseph,Laura,40,27,Purple,Yellow,Sports,Traveling,Comedy,Comedy,Gemini,Aquarius,84
Steven,Jennifer,32,28,Orange,Blue,Sports,Cooking,Sci-Fi,Comedy,Sagittarius,Capricorn,92
Michael,Sandra,27,24,White,Yellow,Gaming,Sports,Drama,Action,Aquarius,Gemini,94
John,Susan,30,29,Brown,Purple,Gaming,Cooking,Action,Comedy,Leo,Capricorn,98
James,Jessica,26,22,Green,Purple,Sports,Cooking,Comedy,Adventure,Virgo,Pisces,92
William,Nancy,25,29,Orange,White,Dancing,Sports,Comedy,Sci-Fi,Aries,Pisces,92
Michael,Jennifer,31,31,Brown,Orange,Cooking,Singing,Adventure,Drama,Leo,Taurus,110
James,Elizabeth,38,19,Brown,Purple,Drawing,Drawing,Documentary,Romance,Taurus,Aries,72
Thomas,Mary,38,40,Red,Blue,Traveling,Drawing,Documentary,Adventure,Aries,Aquarius,96
Daniel,Laura,37,32,Purple,Yellow,Traveling,Traveling,Drama,Sci-Fi,Gemini,Aries,100
Steven,Linda,18,31,Yellow,White,Singing,Dancing,Thriller,Adventure,Leo,Aquarius,84
Robert,Patricia,23,32,Yellow,Pink,Traveling,Sports,Drama,Documentary,Aquarius,Leo,82
Andrew,Ashley,27,33,Red,Black,Fishing,Reading,Documentary,Documentary,Leo,Aquarius,98
Mark,Linda,25,38,Blue,Yellow,Drawing,Singing,Documentary,Sci-Fi,Cancer,Leo,84
Andrew,Nancy,23,18,Orange,White,Sports,Drawing,Sci-Fi,Sci-Fi,Aries,Gemini,110
William,Donna,36,28,Red,White,Dancing,Fishing,Horror,Horror,Gemini,Gemini,94
Paul,Elizabeth,19,28,Orange,Yellow,Reading,Gaming,Romance,Thriller,Aquarius,Libra,82
Mark,Linda,34,25,Green,Green,Cooking,Dancing,Thriller,Horror,Capricorn,Virgo,102
James,Linda,36,34,Orange,Yellow,Fishing,Gaming,Action,Action,Sagittarius,Taurus,106
Michael,Linda,39,34,Yellow,Blue,Dancing,Sports,Comedy,Drama,Aries,Capricorn,90
Paul,Jessica,18,34,Yellow,Brown,Singing,Traveling,Fantasy,Horror,Taurus,Cancer,68
Daniel,Linda,30,28,Pink,Blue,Singing,Dancing,Action,Fantasy,Sagittarius,Gemini,96
James,Lisa,27,22,Pink,Purple,Singing,Sports,Romance,Documentary,Virgo,Leo,100
David,Ashley,29,36,Blue,Purple,Fishing,Hiking,Action,Action,Aquarius,Aquarius,96
Richard,Ashley,25,37,Black,Red,Dancing,Singing,Horror,Documentary,Libra,Taurus,86
James,Jessica,34,38,Black,Red,Cooking,Gaming,Fantasy,Horror,Taurus,Aquarius,102
William,Linda,18,32,White,Pink,Traveling,Sports,Romance,Drama,Leo,Cancer,82
Richard,Ashley,37,26,Red,Yellow,Fishing,Hiking,Horror,Romance,Pisces,Gemini,88
Robert,Patricia,36,18,Black,Yellow,Cooking,Drawing,Documentary,Thriller,Sagittarius,Scorpio,74
Robert,Susan,34,27,Purple,Pink,Cooking,Fishing,Documentary,Fantasy,Taurus,Virgo,86
Joseph,Mary,34,40,Brown,Orange,Drawing,Singing,Fantasy,Romance,Taurus,Virgo,88
Daniel,Jessica,31,33,Orange,Brown,Fishing,Traveling,Fantasy,Adventure,Virgo,Gemini,106
Mark,Nancy,21,20,Black,White,Sports,Drawing,Documentary,Comedy,Scorpio,Cancer,98
Robert,Lisa,27,38,Orange,Yellow,Reading,Hiking,Comedy,Romance,Aries,Pisces,78
Steven,Lisa,24,36,Black,Red,Traveling,Reading,Action,Fantasy,Aquarius,Leo,76
David,Lisa,33,22,Blue,Blue,Hiking,Gaming,Sci-Fi,Romance,Cancer,Leo,98
William,Linda,25,20,Green,Brown,Cooking,Cooking,Thriller,Drama,Pisces,Virgo,110
Joseph,Jessica,32,22,Yellow,Yellow,Drawing,Dancing,Thriller,Horror,Sagittarius,Libra,90
Mark,Karen,23,39,Purple,Pink,Drawing,Hiking,Romance,Action,Capricorn,Taurus,68
Joseph,Jennifer,26,25,Brown,Red,Cooking,Hiking,Fantasy,Romance,Taurus,Virgo,98
Kevin,Donna,39,27,Orange,Red,Reading,Fishing,Thriller,Sci-Fi,Capricorn,Sagittarius,76
David,Karen,39,19,Green,Pink,Cooking,Sports,Comedy,Documentary,Sagittarius,Aquarius,60
